Registration year,Week number,Week beginning,Births registered
2024,11,3/11/24,896
2024,10,3/4/24,902
2024,9,2/26/24,867
2024,8,2/19/24,937
2024,7,2/12/24,842
2024,6,2/5/24,944
2024,5,1/29/24,973
2024,4,1/22/24,1040
2024,3,1/15/24,1003
2024,2,1/8/24,1157
2024,1,1/1/24,400
2023,52,12/25/23,236
2023,51,12/18/23,904
2023,50,12/11/23,827
2023,49,12/4/23,919
2023,48,11/27/23,950
2023,47,11/20/23,883
2023,46,11/13/23,904
2023,45,11/6/23,952
2023,44,10/30/23,1070
2023,43,10/23/23,1031
2023,42,10/16/23,833
2023,41,10/9/23,923
2023,40,10/2/23,882
2023,39,9/25/23,771
2023,38,9/18/23,824
2023,37,9/11/23,941
2023,36,9/4/23,945
2023,35,8/28/23,1024
2023,34,8/21/23,1012
2023,33,8/14/23,956
2023,32,8/7/23,885
2023,31,7/31/23,894
2023,30,7/24/23,979
2023,29,7/17/23,884
2023,28,7/10/23,922
2023,27,7/3/23,854
2023,26,6/26/23,915
2023,25,6/19/23,862
2023,24,6/12/23,919
2023,23,6/5/23,954
2023,22,5/29/23,845
2023,21,5/22/23,860
2023,20,5/15/23,880
2023,19,5/8/23,703
2023,18,5/1/23,783
2023,17,4/24/23,946
2023,16,4/17/23,924
2023,15,4/10/23,733
2023,14,4/3/23,733
2023,13,3/27/23,837
2023,12,3/20/23,873
2023,11,3/13/23,838
2023,10,3/6/23,852
2023,9,2/27/23,875
2023,8,2/20/23,895
2023,7,2/13/23,862
2023,6,2/6/23,909
2023,5,1/30/23,899
2023,4,1/23/23,1040
2023,3,1/16/23,1089
2023,2,1/9/23,1225
2023,1,1/2/23,458
2022,52,12/26/22,221
2022,51,12/19/22,788
2022,50,12/12/22,822
2022,49,12/5/22,869
2022,48,11/28/22,996
2022,47,11/21/22,942
2022,46,11/14/22,1007
2022,45,11/7/22,1034
2022,44,10/31/22,1084
2022,43,10/24/22,1094
2022,42,10/17/22,927
2022,41,10/10/22,1105
2022,40,10/3/22,1009
2022,39,9/26/22,898
2022,38,9/19/22,899
2022,37,9/12/22,926
2022,36,9/5/22,955
2022,35,8/29/22,927
2022,34,8/22/22,859
2022,33,8/15/22,924
2022,32,8/8/22,886
2022,31,8/1/22,833
2022,30,7/25/22,896
2022,29,7/18/22,843
2022,28,7/11/22,848
2022,27,7/4/22,828
2022,26,6/27/22,896
2022,25,6/20/22,938
2022,24,6/13/22,936
2022,23,6/6/22,885
2022,22,5/30/22,702
2022,21,5/23/22,893
2022,20,5/16/22,994
2022,19,5/9/22,991
2022,18,5/2/22,755
2022,17,4/25/22,927
2022,16,4/18/22,765
2022,15,4/11/22,753
2022,14,4/4/22,810
2022,13,3/28/22,880
2022,12,3/21/22,857
2022,11,3/14/22,877
2022,10,3/7/22,899
2022,9,2/28/22,917
2022,8,2/21/22,1011
2022,7,2/14/22,920
2022,6,2/7/22,951
2022,5,1/31/22,943
2022,4,1/24/22,1053
2021,52,12/27/21,225
2021,51,12/20/21,782
2021,50,12/13/21,953
2021,49,12/6/21,954
2021,48,11/29/21,952
2021,47,11/22/21,982
2021,46,11/15/21,995
2021,45,11/8/21,1027
2021,44,11/1/21,1068
2021,43,10/25/21,1014
2021,42,10/18/21,1044
2021,41,10/11/21,989
2021,40,10/4/21,1035
2021,39,9/27/21,1059
2021,38,9/20/21,951
2021,37,9/13/21,1076
2021,36,9/6/21,954
2021,35,8/30/21,1011
2021,34,8/23/21,921
2021,33,8/16/21,983
2021,32,8/9/21,940
2021,31,8/2/21,905
2021,30,7/26/21,954
2021,29,7/19/21,924
2021,28,7/12/21,844
2021,27,7/5/21,914
2021,26,6/28/21,915
2021,25,6/21/21,891
2021,24,6/14/21,922
2021,23,6/7/21,914
2021,22,5/31/21,861
2021,21,5/24/21,887
2021,20,5/17/21,882
2021,19,5/10/21,950
2021,18,5/3/21,705
2021,17,4/26/21,960
2021,16,4/19/21,991
2021,15,4/12/21,963
2021,14,4/5/21,775
2021,13,3/29/21,764
2021,12,3/22/21,859
2021,11,3/15/21,914
2021,10,3/8/21,951
2021,9,3/1/21,885
2021,8,2/22/21,1026
2021,7,2/15/21,993
2021,6,2/8/21,709
2021,5,2/1/21,892
2021,4,1/25/21,916
2021,3,1/18/21,990
2021,2,1/11/21,1105
2021,1,1/4/21,710
2020,53,12/28/20,213
2020,52,12/21/20,623
2020,51,12/14/20,943
2020,50,12/7/20,936
2020,49,11/30/20,919
2020,48,11/23/20,977
2020,47,11/16/20,1057
2020,46,11/9/20,1104
2020,45,11/2/20,1164
2020,44,10/26/20,1128
2020,43,10/19/20,1229
2020,42,10/12/20,1061
2020,41,10/5/20,1329
2020,40,9/28/20,1422
2020,39,9/21/20,1155
2020,38,9/14/20,1358
2020,37,9/7/20,1435
2020,36,8/31/20,1306
2020,35,8/24/20,1352
2020,34,8/17/20,1704
2020,33,8/10/20,1406
2020,32,8/3/20,1569
2020,31,7/27/20,1711
2020,30,7/20/20,1728
2020,29,7/13/20,2067
2020,28,7/6/20,2255
2020,27,6/29/20,2394
2020,26,6/22/20,108
2020,25,6/15/20,22
2020,24,6/8/20,17
2020,23,6/1/20,25
2020,22,5/25/20,14
2020,21,5/18/20,10
2020,20,5/11/20,18
2020,19,5/4/20,8
2020,18,4/27/20,5
2020,17,4/20/20,2
2020,16,4/13/20,4
2020,15,4/6/20,7
2020,14,3/30/20,4
2020,13,3/23/20,81
2020,12,3/16/20,870
2020,11,3/9/20,846
2020,10,3/2/20,942
2020,9,2/24/20,930
2020,8,2/17/20,973
2020,7,2/10/20,888
2020,6,2/3/20,967
2020,5,1/27/20,979
2020,4,1/20/20,970
2020,3,1/13/20,994
2020,2,1/6/20,1403
2020,1,12/30/19,452
2019,52,12/23/19,452
2019,51,12/16/19,986
2019,50,12/9/19,868
2019,49,12/2/19,846
2019,48,11/25/19,895
2019,47,11/18/19,867
2019,46,11/11/19,915
2019,45,11/4/19,936
2019,44,10/28/19,905
2019,43,10/21/19,1029
2019,42,10/14/19,951
2019,41,10/7/19,1065
2019,40,9/30/19,1039
2019,39,9/23/19,1044
2019,38,9/16/19,951
2019,37,9/9/19,983
2019,36,9/2/19,1007
2019,35,8/26/19,967
2019,34,8/19/19,1035
2019,33,8/12/19,1004
2019,32,8/5/19,1016
2019,31,7/29/19,1010
2019,30,7/22/19,1023
2019,29,7/15/19,952
2019,28,7/8/19,968
2019,27,7/1/19,1030
2019,26,6/24/19,980
2019,25,6/17/19,993
2019,24,6/10/19,937
2019,23,6/3/19,967
2019,22,5/27/19,922
2019,21,5/20/19,943
2019,20,5/13/19,1029
2019,19,5/6/19,852
2019,18,4/29/19,1017
2019,17,4/22/19,961
2019,16,4/15/19,801
2019,15,4/8/19,911
2019,14,4/1/19,913
2019,13,3/25/19,958
2019,12,3/18/19,954
2019,11,3/11/19,920
2019,10,3/4/19,930
2019,9,2/25/19,905
2019,8,2/18/19,956
2019,7,2/11/19,977
2019,6,2/4/19,963
2019,5,1/28/19,977
2019,4,1/21/19,943
2019,3,1/14/19,1133
2019,2,1/7/19,1484
2019,1,12/31/18,618
2018,52,12/24/18,424
2018,51,12/17/18,1115
2018,50,12/10/18,947
2018,49,12/3/18,934
2018,48,11/26/18,973
2018,47,11/19/18,959
2018,46,11/12/18,1069
2018,45,11/5/18,946
2018,44,10/29/18,976
2018,43,10/22/18,1018
2018,42,10/15/18,982
2018,41,10/8/18,1078
2018,40,10/1/18,1061
2018,39,9/24/18,1009
2018,38,9/17/18,921
2018,37,9/10/18,994
2018,36,9/3/18,1022
2018,35,8/27/18,987
2018,34,8/20/18,1014
2018,33,8/13/18,1041
2018,32,8/6/18,999
2018,31,7/30/18,1019
2018,30,7/23/18,1059
2018,29,7/16/18,1004
2018,28,7/9/18,1010
2018,27,7/2/18,999
2018,26,6/25/18,1063
2018,25,6/18/18,1013
2018,24,6/11/18,986
2018,23,6/4/18,1021
2018,22,5/28/18,952
2018,21,5/21/18,1022
2018,20,5/14/18,986
2018,19,5/7/18,939
2018,18,4/30/18,964
2018,17,4/23/18,1007
2018,16,4/16/18,1065
2018,15,4/9/18,1044
2018,14,4/2/18,895
2018,13,3/26/18,845
2018,12,3/19/18,1003
2018,11,3/12/18,943
2018,10,3/5/18,1144
2018,9,2/26/18,627
2018,8,2/19/18,1009
2018,7,2/12/18,902
2018,6,2/5/18,995
2018,5,1/29/18,989
2018,4,1/22/18,1054
2018,3,1/15/18,1026
2018,2,1/8/18,1363
2018,1,1/1/18,791
2017,52,12/25/17,416
2017,51,12/18/17,1181
2017,50,12/11/17,977
2017,49,12/4/17,977
2017,48,11/27/17,971
2017,47,11/20/17,981
2017,46,11/13/17,1016
2017,45,11/6/17,1058
2017,44,10/30/17,992
2017,43,10/23/17,1024
2017,42,10/16/17,1038
2017,41,10/9/17,1047
2017,40,10/2/17,1136
2017,39,9/25/17,1004
2017,38,9/18/17,982
2017,37,9/11/17,1045
2017,36,9/4/17,1050
2017,35,8/28/17,1106
2017,34,8/21/17,1092
2017,33,8/14/17,1115
2017,32,8/7/17,1015
2017,31,7/31/17,1106
2017,30,7/24/17,1101
2017,29,7/17/17,1037
2017,28,7/10/17,1114
2017,27,7/3/17,1071
2017,26,6/26/17,1022
2017,25,6/19/17,968
2017,24,6/12/17,1012
2017,23,6/5/17,1044
2017,22,5/29/17,1021
2017,21,5/22/17,947
2017,20,5/15/17,1013
2017,19,5/8/17,1025
2017,18,5/1/17,916
2017,17,4/24/17,1097
2017,16,4/17/17,1012
2017,15,4/10/17,855
2017,14,4/3/17,1022
2017,13,3/27/17,1000
2017,12,3/20/17,968
2017,11,3/13/17,1005
2017,10,3/6/17,988
2017,9,2/27/17,1017
2017,8,2/20/17,1009
2017,7,2/13/17,972
2017,6,2/6/17,975
2017,5,1/30/17,973
2017,4,1/23/17,948
2017,3,1/16/17,1129
2017,2,1/9/17,1327
2017,1,1/2/17,944
2016,52,12/26/16,403
2016,51,12/19/16,1095
2016,50,12/12/16,1006
2016,49,12/5/16,1077
2016,48,11/28/16,990
2016,47,11/21/16,999
2016,46,11/14/16,1011
2016,45,11/7/16,976
2016,44,10/31/16,1025
2016,43,10/24/16,1082
2016,42,10/17/16,1055
2016,41,10/10/16,1105
2016,40,10/3/16,1160
2016,39,9/26/16,1044
2016,38,9/19/16,1111
2016,37,9/12/16,1008
2016,36,9/5/16,1079
2016,35,8/29/16,1070
2016,34,8/22/16,1057
2016,33,8/15/16,1134
2016,32,8/8/16,1096
2016,31,8/1/16,1059
2016,30,7/25/16,1088
2016,29,7/18/16,1073
2016,28,7/11/16,1079
2016,27,7/4/16,1130
2016,26,6/27/16,1082
2016,25,6/20/16,1093
2016,24,6/13/16,1109
2016,23,6/6/16,1121
2016,22,5/30/16,1016
2016,21,5/23/16,1042
2016,20,5/16/16,1094
2016,19,5/9/16,1122
2016,18,5/2/16,1034
2016,17,4/25/16,990
2016,16,4/18/16,1028
2016,15,4/11/16,1090
2016,14,4/4/16,1113
2016,13,3/28/16,1001
2016,12,3/21/16,855
2016,11,3/14/16,973
2016,10,3/7/16,1038
2016,9,2/29/16,972
2016,8,2/22/16,1020
2016,7,2/15/16,1009
2016,6,2/8/16,1020
2016,5,2/1/16,1005
2016,4,1/25/16,970
2016,3,1/18/16,1056
2016,2,1/11/16,1227
2016,1,1/4/16,1396
2015,53,12/28/15,513
2015,52,12/21/15,867
2015,51,12/14/15,1065
2015,50,12/7/15,990
2015,49,11/30/15,998
2015,48,11/23/15,1068
2015,47,11/16/15,1090
2015,46,11/9/15,1003
2015,45,11/2/15,1064
2015,44,10/26/15,1066
2015,43,10/19/15,1035
2015,42,10/12/15,1111
2015,41,10/5/15,1097
2015,40,9/28/15,1124
2015,39,9/21/15,1111
2015,38,9/14/15,1014
2015,37,9/7/15,1151
2015,36,8/31/15,1092
2015,35,8/24/15,1146
2015,34,8/17/15,1106
2015,33,8/10/15,1118
2015,32,8/3/15,1148
2015,31,7/27/15,1205
2015,30,7/20/15,984
2015,29,7/13/15,1133
2015,28,7/6/15,1121
2015,27,6/29/15,1126
2015,26,6/22/15,1124
2015,25,6/15/15,1042
2015,24,6/8/15,1065
2015,23,6/1/15,1138
2015,22,5/25/15,958
2015,21,5/18/15,1037
2015,20,5/11/15,1120
2015,19,5/4/15,993
2015,18,4/27/15,1089
2015,17,4/20/15,1061
2015,16,4/13/15,1081
2015,15,4/6/15,1052
2015,14,3/30/15,869
2015,13,3/23/15,954
2015,12,3/16/15,1016
2015,11,3/9/15,1033
2015,10,3/2/15,992
2015,9,2/23/15,1043
2015,8,2/16/15,1004
2015,7,2/9/15,1025
2015,6,2/2/15,1066
2015,5,1/26/15,945
2015,4,1/19/15,1103
2015,3,1/12/15,1200
2015,2,1/5/15,1530
2015,1,12/29/14,553
2014,52,12/22/14,670
2014,51,12/15/14,1064
2014,50,12/8/14,965
2014,49,12/1/14,994
2014,48,11/24/14,1059
2014,47,11/17/14,1096
2014,46,11/10/14,1074
2014,45,11/3/14,1056
2014,44,10/27/14,1129
2014,43,10/20/14,1081
2014,42,10/13/14,1160
2014,41,10/6/14,1239
2014,40,9/29/14,1200
2014,39,9/22/14,1132
2014,38,9/15/14,1078
2014,37,9/8/14,1192
2014,36,9/1/14,1101
2014,35,8/25/14,1101
2014,34,8/18/14,1208
2014,33,8/11/14,1138
2014,32,8/4/14,1115
2014,31,7/28/14,1147
2014,30,7/21/14,1103
2014,29,7/14/14,1130
2014,28,7/7/14,1124
2014,27,6/30/14,1123
2014,26,6/23/14,1089
2014,25,6/16/14,1108
2014,24,6/9/14,1145
2014,23,6/2/14,1124
2014,22,5/26/14,1032
2014,21,5/19/14,1043
2014,20,5/12/14,1138
2014,19,5/5/14,1008
2014,18,4/28/14,1108
2014,17,4/21/14,1098
2014,16,4/14/14,957
2014,15,4/7/14,1059
2014,14,3/31/14,1063
2014,13,3/24/14,1095
2014,12,3/17/14,1086
2014,11,3/10/14,1096
2014,10,3/3/14,1007
2014,9,2/24/14,1057
2014,8,2/17/14,1073
2014,7,2/10/14,1041
2014,6,2/3/14,1030
2014,5,1/27/14,1062
2014,4,1/20/14,1076
2014,3,1/13/14,1117
2014,2,1/6/14,1695
2014,1,12/30/13,683
2013,52,12/23/13,576
2013,51,12/16/13,1075
2013,50,12/9/13,998
2013,49,12/2/13,1016
2013,48,11/25/13,1102
